School,From,To,Yrs,Overall Games,Overall Wins,Overall Losses,Overall Ties,Overall Percent,Bowl Games,Bowl Wins,Bowl Losses,Bowl Ties,Bowl Percent,SRS,SOS,AP,CC,Notes
Furman,1902,1981,61,605,297,280,28,0.514,0,0,0,0,,-6.16,-6.16,0,3,
George Washington,1908,1966,33,299,138,147,14,0.485,1,1,0,0,1,-4.59,-4.24,1,0,
Georgetown,1902,1950,36,313,184,110,19,0.618,2,0,2,0,0,2.76,-2.44,1,0,
Georgia,1902,2014,111,1186,750,386,50,0.653,48,27,18,3,0.594,9.94,4.71,34,12,
Georgia Pre-Flight,1942,1943,2,15,12,2,1,0.833,0,0,0,0,,11.14,2.27,0,0,
Georgia Southern,2014,2014,1,11,8,3,0,0.727,0,0,0,0,,2.64,-7.72,0,0,
Georgia State,2013,2014,2,23,1,22,0,0.043,0,0,0,0,,-19.84,-4.49,0,0,
Georgia Tech,1902,2014,113,1198,703,455,40,0.604,42,23,19,0,0.548,8.86,4.56,24,8,W-L-T adjusted to 702-455-40 by NCAA.
Gonzaga,1922,1941,16,141,67,63,11,0.514,1,0,1,0,0,-2.55,-4.15,0,0,
Grambling State,1977,1977,1,11,10,1,0,0.909,0,0,0,0,,6.73,-10,0,1,
Great Lakes Navy,1918,1945,5,55,39,11,5,0.755,1,1,0,0,1,16.37,6.95,2,0,
Grinnell,1899,1936,26,218,90,110,18,0.454,0,0,0,0,,-6.97,-4.74,0,0,
Hamilton,1907,1907,1,5,1,4,0,0.2,0,0,0,0,,-10.59,3.81,0,0,
Hampden-Sydney,1922,1940,5,44,14,29,1,0.33,0,0,0,0,,-12.35,-6.01,0,0,
Hardin-Simmons,1939,1962,21,218,113,96,9,0.539,6,4,2,0,0.667,-5.41,-6.95,1,3,
Harvard,1875,1981,103,932,631,259,42,0.7,1,1,0,0,1,4.2,-2.12,0,5,
Haskell,1902,1916,12,110,57,49,4,0.536,0,0,0,0,,-1.95,-2.36,0,0,
Haverford,1891,1891,1,6,0,6,0,0,0,0,0,0,,-23.89,-1.73,0,0,
Hawaii,1971,2014,42,509,261,242,6,0.519,10,5,5,0,0.5,-2.89,-3.2,2,4,
Holy Cross,1899,1981,53,524,264,233,27,0.53,1,0,1,0,0,-3,-4.37,5,0,
Houston,1949,2014,66,735,390,330,15,0.541,22,9,12,1,0.432,3.08,1.36,13,10,W-L-T adjusted to 390-330-14 by NCAA.
Idaho,1917,2014,72,700,244,440,16,0.36,2,2,0,0,1,-8.5,-3.52,0,1,
Idaho State,1944,1944,1,9,4,5,0,0.444,0,0,0,0,,-11.65,-7.09,0,0,
Illinois,1892,2014,123,1187,581,557,49,0.51,17,8,9,0,0.471,6.43,5.34,13,15,
Illinois State,1975,1985,11,119,41,73,5,0.366,0,0,0,0,,-15.36,-11.09,0,0,
Indiana,1899,2014,116,1102,436,628,38,0.413,9,3,6,0,0.333,1.93,4.57,5,2,W-L-T adjusted to 437-627-38 by NCAA.
Indiana State,1975,1985,11,120,60,59,1,0.504,0,0,0,0,,-10.06,-9.71,0,0,
Iowa,1899,2014,116,1128,582,512,34,0.531,27,14,12,1,0.537,6.51,5.21,21,11,W-L-T adjusted to 583-511-34 by NCAA.
Iowa Pre-Flight,1942,1944,3,31,26,5,0,0.839,0,0,0,0,,18.05,5.72,2,0,
Iowa State,1895,2014,117,1146,489,612,45,0.446,12,3,9,0,0.25,-0.15,1.23,2,2,W-L-T adjusted to 490-611-45 by NCAA.
Jackson State,1977,1977,1,11,8,3,0,0.727,0,0,0,0,,-1.31,-10.4,0,0,
Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,0.75,0,0,0,0,,6.46,-3.13,0,0,
Kansas,1901,2014,114,1149,521,574,54,0.477,12,6,6,0,0.5,1.49,2.34,7,5,
Kansas State,1912,2014,103,1053,443,575,35,0.437,17,7,10,0,0.412,-0.66,1.88,12,3,W-L-T adjusted to 444-575-34 by NCAA.
Kent State,1962,2014,53,584,192,387,5,0.333,2,0,2,0,0,-12.95,-7.22,0,1,
Kentucky,1915,2014,99,1027,462,529,36,0.467,15,8,7,0,0.533,3.8,4.07,8,2,W-L-T adjusted to 463-528-36 by NCAA.
Knox,1899,1905,5,52,27,23,2,0.538,0,0,0,0,,-1.9,-3.67,0,0,
Lafayette,1882,1946,47,440,256,160,24,0.609,0,0,0,0,,1.01,-2.59,0,0,
Lake Forest,1893,1899,5,47,17,24,6,0.426,0,0,0,0,,-7.97,-3.29,0,0,
Lamar,1973,1981,9,97,33,60,4,0.361,0,0,0,0,,-12.77,-7.68,0,0,
Lawrence,1905,1905,1,10,7,3,0,0.7,0,0,0,0,,3.09,-1.91,0,0,
Lehigh,1884,1965,43,412,195,197,20,0.498,0,0,0,0,,-3.05,-2.51,0,0,
Lombard,1903,1903,1,8,5,3,0,0.625,0,0,0,0,,-2.35,-2.72,0,0,
Long Beach State,1969,1991,23,257,129,126,2,0.506,1,0,0,1,0.5,-7.67,-7.16,0,3,W-L-T adjusted to 130-125-2 by NCAA.
Louisiana State,1902,2014,110,1165,731,387,47,0.648,45,23,21,1,0.522,9.66,4.38,37,11,W-L-T adjusted to 733-385-47 by NCAA.
Louisiana Tech,1975,2014,34,391,194,190,7,0.505,6,2,3,1,0.417,-4.36,-4.55,0,4,W-L-T adjusted to 195-189-7 by NCAA.
Louisiana-Lafayette,1973,2014,42,474,202,267,5,0.431,3,3,0,0,1,-9.63,-6.14,0,4,W-L-T adjusted to 203-266-5 by NCAA.
Louisiana-Monroe,1975,2014,28,320,118,200,2,0.372,1,0,1,0,0,-11.59,-6.03,0,1,
Louisville,1962,2014,53,601,321,273,7,0.54,17,8,8,1,0.5,-1.36,-2.52,9,8,W-L-T adjusted to 323-271-7 by NCAA.
Loyola (LA),1934,1936,3,28,10,17,1,0.375,0,0,0,0,,-6.61,-3.13,0,0,
Loyola Marymount,1933,1951,13,127,66,57,4,0.535,0,0,0,0,,-2.09,-4.02,0,0,
Lubbock Field,1944,1944,1,9,5,4,0,0.556,0,0,0,0,,-1.45,-3.01,0,0,
Maine,1904,1905,2,16,8,7,1,0.531,0,0,0,0,,-1.9,-2.21,0,0,
Manhattan,1936,1942,7,63,30,31,2,0.492,0,0,0,0,,-0.84,0.07,0,0,
March Field,1943,1944,2,21,16,3,2,0.81,0,0,0,0,,5.33,-5.69,2,0,
Mare Island Marines,1917,1918,2,19,18,1,0,0.947,2,1,1,0,0.5,13.72,-5.57,0,0,
Marquette,1927,1960,34,306,131,160,15,0.453,1,0,1,0,0,-0.76,0.34,1,0,
Marshall,1962,2014,38,432,192,237,3,0.448,10,8,2,0,0.8,-9.36,-6.31,2,5,
Maryland,1917,2014,98,1042,539,473,30,0.532,25,11,12,2,0.48,2.53,1.54,18,11,
Maryville (TN),1906,1907,2,13,3,8,2,0.308,0,0,0,0,,-9.89,0.71,0,0,
Massachusetts,1882,2014,17,151,52,93,6,0.364,0,0,0,0,,-8.65,-3.91,0,0,
McNeese State,1975,1981,7,80,57,21,2,0.725,3,1,2,0,0.333,-1.17,-7.87,0,3,
Memphis,1960,2014,55,605,277,320,8,0.464,6,3,3,0,0.5,-1.74,-1.6,0,3,W-L-T adjusted to 278-319-8 by NCAA.
Mercer,1909,1936,15,138,56,73,9,0.438,0,0,0,0,,-3.92,-2.03,0,0,
Merchant Marine,1945,1947,3,30,11,19,0,0.367,0,0,0,0,,-13.88,-8.32,0,0,
Miami (FL),1936,2014,78,864,547,305,12,0.64,34,18,16,0,0.529,8.96,3.71,30,9,
Miami (OH),1962,2014,53,594,330,249,15,0.568,8,5,3,0,0.625,-3.84,-6.41,4,9,W-L-T adjusted to 331-248-15 by NCAA.
Michigan,1881,2014,125,1243,889,319,35,0.729,43,20,23,0,0.465,13.67,5.01,57,42,
Michigan State,1918,2014,90,931,544,357,30,0.6,23,9,14,0,0.391,9.29,4.75,24,7,W-L-T adjusted to 539-362-30 by NCAA.
Middle Tennessee State,1999,2014,16,190,91,99,0,0.479,4,1,3,0,0.25,-7.15,-6.28,0,2,
Millsaps,1924,1924,1,9,3,5,1,0.389,0,0,0,0,,-10.12,-7.78,0,0,
Minnesota,1892,2014,123,1181,652,487,42,0.57,16,5,11,0,0.313,8.38,4.97,14,18,
Mississippi,1902,2014,109,1129,614,481,34,0.559,35,23,12,0,0.657,4.74,2.68,23,6,W-L-T adjusted to 618-477-34 by NCAA.
Mississippi College,1911,1924,10,81,38,37,6,0.506,0,0,0,0,,-3.35,-2.44,0,0,
Mississippi State,1902,2014,110,1103,540,526,37,0.506,17,10,7,0,0.588,3.14,2.86,12,1,W-L-T adjusted to 523-544-36 by NCAA.
Mississippi Valley State,1977,1977,1,10,5,5,0,0.5,0,0,0,0,,-11.39,-10.79,0,0,
Missouri,1901,2014,113,1157,603,504,50,0.543,30,14,16,0,0.467,4.84,3.13,18,12,W-L-T adjusted to 605-502-50 by NCAA.
MIT,1882,1899,12,77,27,48,2,0.364,0,0,0,0,,-5.2,0.64,0,0,
Montana,1917,1962,38,332,123,199,10,0.386,0,0,0,0,,-8.86,-4.59,0,0,
Montana State,1923,1947,17,140,65,66,9,0.496,1,0,0,1,0.5,-7.33,-6.97,0,2,
Nashville,1904,1904,1,9,1,7,1,0.167,0,0,0,0,,-11.26,-0.71,0,0,
Navy,1891,2014,121,1223,645,526,52,0.549,19,8,10,1,0.447,4.04,1.45,12,0,
Nebraska,1900,2014,115,1211,838,335,38,0.708,49,24,25,0,0.49,11.06,3.66,48,43,W-L-T adjusted to 839-335-37 by NCAA.
Nevada,1946,2014,28,328,182,146,0,0.555,13,4,9,0,0.308,-3.27,-5.8,1,7,
Nevada-Las Vegas,1978,2014,37,429,163,263,3,0.383,4,3,1,0,0.75,-9.27,-4.04,0,1,W-L-T adjusted to 152-274-3 by NCAA.
New Hampshire,1904,1905,2,15,4,9,2,0.333,0,0,0,0,,-11.44,-5.52,0,0,
New Mexico,1931,2014,83,898,375,506,17,0.427,10,3,6,1,0.35,-6.57,-4.03,0,4,
New Mexico State,1931,2014,81,857,298,545,14,0.356,3,2,0,1,0.833,-13.05,-7.82,1,4,W-L-T adjusted to 299-544-14 by NCAA.
New York University,1927,1952,24,205,97,99,9,0.495,0,0,0,0,,-4.24,-3.23,0,0,
Newberry,1914,1925,11,86,34,48,4,0.419,0,0,0,0,,-9.95,-5.22,0,0,
Norman Naval Air Station,1944,1944,1,6,6,0,0,1,0,0,0,0,,18.01,3.51,1,0,
North Carolina,1902,2014,111,1157,623,486,48,0.559,30,14,16,0,0.467,4.75,2.9,15,7,W-L-T adjusted to 607-486-48 by NCAA.
North Carolina Pre-Flight,1942,1943,2,18,10,6,2,0.611,0,0,0,0,,3.2,2,0,0,
North Carolina State,1902,2014,109,1123,542,535,46,0.503,27,14,12,1,0.537,1.39,1.3,12,7,
North Texas,1953,2014,50,546,234,301,11,0.439,6,2,4,0,0.333,-7.85,-5.13,0,9,W-L-T adjusted to 237-298-11 by NCAA.
Northern Arizona,1931,1952,19,152,49,91,12,0.362,0,0,0,0,,-17.75,-11.74,0,0,
Northern Colorado,1923,1937,15,115,51,57,7,0.474,0,0,0,0,,-10.73,-9.63,0,1,
Northern Illinois,1968,2014,47,537,258,275,4,0.484,8,4,4,0,0.5,-8.82,-7.64,1,3,
Northwestern,1892,2014,121,1180,499,641,40,0.44,11,2,9,0,0.182,2.79,5.49,9,8,W-L-T adjusted to 500-640-40 by NCAA.
Northwestern State,1976,1979,4,41,19,22,0,0.463,0,0,0,0,,-12.36,-8.13,0,0,
Notre Dame,1899,2014,108,1131,804,294,33,0.725,32,15,17,0,0.469,14.79,6.15,51,0,
Oglethorpe,1919,1925,7,69,31,35,3,0.471,0,0,0,0,,-3.68,-1.98,0,0,
Ohio,1962,2014,53,594,247,338,9,0.423,8,2,6,0,0.25,-9.65,-6.76,1,3,
Ohio State,1904,2014,103,1039,751,252,36,0.74,43,20,23,0,0.465,14.73,5.89,53,35,W-L-T adjusted to 739-251-36 by NCAA.
Oklahoma,1903,2014,106,1139,797,295,47,0.72,47,28,18,1,0.606,12.18,3.58,54,43,
Oklahoma State,1914,2014,101,1061,520,500,41,0.509,24,15,9,0,0.625,2.13,1.9,11,10,
Old Dominion,2014,2014,1,11,5,6,0,0.455,0,0,0,0,,-6.46,-3.09,0,0,
Oregon,1916,2014,97,1013,547,432,34,0.557,27,12,15,0,0.444,5.37,3.35,14,10,W-L-T adjusted to 548-431-34 by NCAA.
Oregon State,1916,2014,97,1011,451,524,36,0.464,15,9,6,0,0.6,2.07,3.6,10,5,W-L-T adjusted to 453-522-36 by NCAA.
Pacific,1943,1995,47,498,209,280,9,0.429,2,1,1,0,0.5,-7.8,-5.74,1,0,W-L-T adjusted to 210-279-9 by NCAA.
Penn State,1889,2014,121,1230,826,367,37,0.687,44,27,15,2,0.636,8.96,2.08,40,3,W-L-T adjusted to 714-367-37 by NCAA.
Pennsylvania,1876,1981,105,1027,618,369,40,0.621,1,0,1,0,0,3.31,-0.44,7,1,
Phillips,1920,1921,2,19,7,8,4,0.474,0,0,0,0,,-6.92,-5.01,0,0,
Pittsburgh,1905,2014,110,1140,646,457,37,0.583,30,13,17,0,0.433,7.37,4.26,19,2,W-L-T adjusted to 647-456-37 by NCAA.
Portland,1946,1947,2,19,3,15,1,0.184,0,0,0,0,,-20.94,-10.76,0,0,
Prairie View A&M,1977,1977,1,11,3,8,0,0.273,0,0,0,0,,-19.35,-10.35,0,0,
Presbyterian,1915,1945,16,127,58,63,6,0.48,0,0,0,0,,-5.56,-4.99,0,0,
Princeton,1869,1981,109,918,637,233,48,0.72,0,0,0,0,,6.01,-1.32,4,5,
Purdue,1892,2014,123,1163,585,530,48,0.524,17,9,8,0,0.529,5.84,4.55,17,8,W-L-T adjusted to 586-529-48 by NCAA.
Quantico Marines,1965,1965,1,10,6,4,0,0.6,0,0,0,0,,-6.22,-12.12,0,0,
Randolph Field,1944,1944,1,12,12,0,0,1,0,0,0,0,,16.14,-5.11,1,0,
Regis (CO),1924,1930,3,25,9,16,0,0.36,0,0,0,0,,-12.84,-8.99,0,0,
Rhodes,1939,1939,1,9,3,5,1,0.389,0,0,0,0,,-5.39,-2.5,0,0,
Rice,1914,2014,101,1061,452,577,32,0.441,11,6,5,0,0.545,0.45,2.95,8,7,W-L-T adjusted to 453-576-32 by NCAA.
Richmond,1909,1983,58,566,233,305,28,0.436,2,1,1,0,0.5,-8.5,-6.1,0,4,
Rutgers,1869,2014,100,928,465,441,22,0.513,8,5,3,0,0.625,-3.04,-3.28,4,1,W-L-T adjusted to 466-440-22 by NCAA.
Saint Louis,1907,1949,18,173,82,78,13,0.512,0,0,0,0,,-6.35,-6.98,0,0,
Saint Mary's (CA),1930,1950,20,182,101,70,11,0.585,3,1,2,0,0.333,2.63,0.03,1,0,
Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,0.538,0,0,0,0,,2.43,-1.77,1,0,
Samford,1907,1924,11,95,27,57,11,0.342,0,0,0,0,,-8.87,-2.41,0,0,
San Diego State,1969,2014,46,536,283,245,8,0.535,7,2,5,0,0.286,-0.34,-1.59,1,7,W-L-T adjusted to 284-244-8 by NCAA.
San Francisco,1932,1951,18,163,77,76,10,0.503,0,0,0,0,,-0.9,-2.31,1,0,
San Jose State,1950,2014,65,714,320,380,14,0.458,7,4,3,0,0.571,-5.31,-3.48,1,8,W-L-T adjusted to 321-379-14 by NCAA.
Santa Clara,1932,1952,18,163,98,54,11,0.635,3,3,0,0,1,6.35,2.59,6,0,
Second Air Force,1944,1944,1,15,10,4,1,0.7,0,0,0,0,,12.44,-1.42,1,0,
Sewanee,1902,1941,40,339,161,155,23,0.509,0,0,0,0,,0.46,0.18,0,0,
Simpson,1902,1903,2,10,3,7,0,0.3,0,0,0,0,,-5.53,1.87,0,0,
South Alabama,2012,2014,3,36,14,22,0,0.389,0,0,0,0,,-8.14,-4.96,0,0,
South Carolina,1903,2014,107,1109,549,519,41,0.514,19,7,12,0,0.368,2.13,1.63,9,1,W-L-T adjusted to 550-518-41 by NCAA.
South Florida,2000,2014,15,179,97,82,0,0.542,6,4,2,0,0.667,-0.28,-1.97,0,0,
Southern,1977,1977,1,11,3,7,1,0.318,0,0,0,0,,-15.39,-9.12,0,0,
Southern California,1922,2014,93,1045,719,286,40,0.707,50,33,17,0,0.66,14.29,6.45,46,37,W-L-T adjusted to 705-286-40 by NCAA.
Southern Illinois,1972,1985,14,156,68,85,3,0.446,0,0,0,0,,-11.97,-9.54,0,0,
Southern Methodist,1916,2014,97,1036,471,511,54,0.481,15,7,7,1,0.5,2.27,2.87,11,10,W-L-T adjusted to 467-505-54 by NCAA.
Southern Mississippi,1963,2014,52,592,327,259,6,0.557,18,10,8,0,0.556,0.65,-1.4,3,5,W-L-T adjusted to 330-256-6 by NCAA.
Southwestern (TX),1910,1921,12,78,23,49,6,0.333,0,0,0,0,,-7.1,-1.27,0,0,
Spring Hill,1919,1922,3,23,11,11,1,0.5,0,0,0,0,,-3.17,-2.11,0,0,
Springfield,1891,1892,2,21,9,11,1,0.452,0,0,0,0,,-0.79,0.43,0,0,
Stanford,1918,2014,94,999,537,428,34,0.555,23,11,11,1,0.5,6.69,4.95,17,12,
Stevens,1872,1891,19,123,36,74,13,0.346,0,0,0,0,,-4.24,-0.35,0,0,
Swarthmore,1888,1912,8,65,40,24,1,0.623,0,0,0,0,,3.32,-1.34,0,0,
Syracuse,1899,2014,113,1155,652,462,41,0.582,25,15,9,1,0.62,4.49,1.19,15,5,
Tampa,1966,1974,7,73,43,30,0,0.589,1,1,0,0,1,-3.53,-7.13,0,0,
Temple,1930,2014,67,698,286,386,26,0.428,4,2,2,0,0.5,-3.21,-0.78,1,0,W-L-T adjusted to 281-391-26 by NCAA.
Tennessee,1902,2014,110,1184,784,349,51,0.684,49,25,24,0,0.51,10.28,3.53,42,13,W-L-T adjusted to 785-349-50 by NCAA.
Tennessee Medical College,1904,1904,1,6,2,4,0,0.333,0,0,0,0,,-13.94,-2.6,0,0,
